Company,Industry,Sector
Dorchester Collection,Hospitality,Accomodation Services
Agent Provocateur,Retail Apparel and Fashion,Retail
wagamama,Food and Beverage Services,Accomodation Services
Hyve Group,Events Services,Administrative and Support Services
British Land,Real Estate,Real Estate and Equipment Rental Services
Scandic Hotels,Hospitality,Accomodation Services
Movisie,Civic and Social Organizations,Consumer Services
Matalan,Retail,Retail
Rolls-Royce SMR,Utilities,Utilities
House of Fraser,Retail,Retail
Kodland,E-Learning Providers,Education
German Association of the Automotive Industry (VDA),Motor Vehicle Manufacturing,Manufacturing
Deutsche Bundesbank,Banking,Financial Services
Paddy Power,Entertainment Providers,Entertainment Providers
FMO - Dutch entrepreneurial development bank,Banking,Financial Services
Britvic plc,Consumer Services,Consumer Services
Dunelm,Retail,Retail
Rapha,Retail Apparel and Fashion,Retail
Yle,Broadcast Media Production and Distribution,"Technology, Information and Media"
Lidl Ireland,Retail,Retail
Rijksmuseum,"Museums, Historical Sites, and Zoos",Entertainment Providers
ZDF,Broadcast Media Production and Distribution,"Technology, Information and Media"
Paul Smith,Retail Luxury Goods and Jewelry,Retail
PropertyLoop,Real Estate,Real Estate and Equipment Rental Services
Corinthia Hotels,Hospitality,Accomodation Services
NATS,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
Marimekko,Retail Apparel and Fashion,Retail
Barclays Corporate Banking,Banking,Financial Services
Carhartt WIP (Work In Progress),Retail Apparel and Fashion,Retail
Crytek,Computer Games,"Technology, Information and Media"
Beauty Pie,Retail,Retail
Lederne - Danmarks største lederorganisation,Consumer Services,Consumer Services
L'ETO Group,Restaurants,Accomodation Services
OTTO,Online and Mail Order Retail,Retail
Freudenberg Group,Motor Vehicle Manufacturing,Manufacturing
Aldi Ireland,Retail,Retail
TK MAXX,Retail,Retail
Planet Smart City,Real Estate,Real Estate and Equipment Rental Services
E-Mobility @ ZF,Motor Vehicle Manufacturing,Manufacturing
OVO,Utilities,Utilities
The Hoxton,Hospitality,Accomodation Services
Kia Europe,Motor Vehicle Manufacturing,Manufacturing
DICE,Computer Games,"Technology, Information and Media"
Engel & Völkers,Real Estate,Real Estate and Equipment Rental Services
Unilever Food Solutions,Food & Beverages,Retail
VPRO,Broadcast Media Production and Distribution,"Technology, Information and Media"
Raiffeisen Bank International AG,Banking,Financial Services
Brussels Airport,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage"
